It's not crochet.  It's a 3D printer... new technology that creates things from a picture.  Would be great if it was crochet though.,"Wed, 12 Mar 2014 16:23:37 +0000",309833786772691467
aaahhh!!! quiero una impresora 3D,"Sat, 10 May 2014 06:38:51 +0000",560487253533532232
Adorable!,"Sun, 05 Feb 2012 18:47:42 +0000",236298449107026889
Got so many compliments on this.  It's gorgeous in person!,"Mon, 01 Sep 2014 19:56:52 +0000",143482075536688141
Wip?? Acabalo !!,"Tue, 15 Apr 2014 19:59:39 +0000",512988351213611701
Cool!,"Sun, 15 Sep 2013 17:52:44 +0000",416653540434393974
"Mmmm, Earl Grey, yum!","Mon, 06 Feb 2012 23:56:18 +0000",19703454528178593
Try Constant Comment -- if you can find it! My fav since 1975.,"Sat, 11 Feb 2012 02:58:12 +0000",21392304388442509
nice cup of green and peppermint tea,"Tue, 28 Feb 2012 19:59:02 +0000",34903103270553993
Mint from my garden tea!,"Thu, 25 Apr 2013 18:09:32 +0000",94716535821568570
"Alternate recipe: 2 eggs, 2 cups buttermilk, 2 cups all-purpose flour, 1 tsp. vanilla, 2 teaspoons baking powder, 1/2 teaspoon fine sea salt, 1/2 teaspoon baking soda, 2 tablespoons sugar, 1/4 cup melted unsalted butter, 1 T melted or softened butter (for pan).  Separate the eggs and beat whites until stiff but not dry, and set aside. In another bowl, combine egg yolks, buttermilk, vanilla, flour, baking powder, salt, baking soda, sugar, and butter. Beat until smooth, and then fold in the egg whites. Heat an aebleskiver pan over medium heat and brush each depression with melted butter. Pour about 2 tablespoons of the batter into each cup, and, when bubbly around the edges, turn quickly with a long wooden skewer or toothpick, trying not to puncture the balls. Continue cooking, turning the ball to keep it from burning. You can also add half the batter to the pan, add a teaspoon of jam or fruit, then cover with remaining batter. Enjoy!","Tue, 22 Jan 2013 09:58:21 +0000",91901786054461841
Super cute!!,"Mon, 01 Sep 2014 21:57:21 +0000",126171364468985379
Where you get your kicks from?,"Tue, 29 May 2012 18:51:54 +0000",13229530063833150
"I got these from <a href=""http://www.flightclubla.com/"" rel=""nofollow"">http://www.flightclubla.com/</a>","Tue, 29 May 2012 19:31:58 +0000",105905166145815601
Yuck,"Thu, 20 Mar 2014 09:17:50 +0000",73465175079914124
is that for real??,"Sun, 26 Feb 2012 19:50:50 +0000",222435806504027284
"Geaux for the Gold in London, Lolo!","Mon, 25 Jun 2012 04:40:06 +0000",194780890042206922
also a future wife.,"Mon, 30 Jul 2012 03:28:48 +0000",267964383986979506
"Very bright and cheerful,  congratulations!","Thu, 17 Oct 2013 04:28:15 +0000",334885059699939553
Thank you! Nothing like finishing a quilt!!,"Thu, 17 Oct 2013 15:07:42 +0000",22236729318577069
hahahahahah,"Fri, 07 Dec 2012 21:59:03 +0000",149181943815081888
Oh Yeah!,"Mon, 05 Mar 2012 01:16:59 +0000",163185323906434938
So cool!,"Sun, 06 Apr 2014 14:20:15 +0000",436004945083236812
Haha short arm problems....,"Mon, 03 Feb 2014 16:15:07 +0000",45458414897202350
You're very pretty!,"Fri, 31 Jan 2014 23:15:14 +0000",480337253915172256
You're very pretty!,"Fri, 31 Jan 2014 23:15:16 +0000",480337253915172256
Thank you!,"Fri, 31 Jan 2014 23:32:37 +0000",510032863958150912
"This looked horrible on me, but I can't help but still love yellow polish...","Sun, 09 Oct 2011 09:51:05 +0000",151644849861296162
OMG!  So funny!,"Mon, 29 Sep 2014 03:17:51 +0000",392657798669830617
So funny!,"Sun, 12 Oct 2014 14:42:36 +0000",415105428062481378
Im gonna cry so hard when u get married!!!!,"Sat, 25 Jan 2014 11:33:41 +0000",461619167963907384
"Love Ocean City, MD","Sun, 29 Jun 2014 18:03:37 +0000",404479747691663347
Let's go Kelly,"Mon, 07 Jul 2014 02:12:34 +0000",327777816537991807
This is my dining room chandelier but only in white!,"Sun, 17 Nov 2013 13:10:41 +0000",212021232365737243
I Love this,"Sat, 25 Jan 2014 19:59:25 +0000",437834532431862795
Adorei ! Melhor que a aula presencial que fiz. Obrigada por compartilhar.,"Wed, 09 Apr 2014 00:31:44 +0000",334603584723242727
I love it!!,"Tue, 23 Jul 2013 22:30:08 +0000",153333699721562665
Fluffy!!!!!,"Sat, 18 Jan 2014 02:32:27 +0000",192317983995986133
"It is so heartbreaking to see you doggie suffer ~ get proactive and preventative to help insure the health and happiness of your loved doggie for many years to come. I love Dr Tobias's website… watch his video on 7 things to know about your dog on Youtube! <a href=""/search?q=drpeterdobiaspintowin"" rel=""nofollow"">#drpeterdobiaspintowin</a>","Tue, 01 Apr 2014 15:09:02 +0000",536843355489836361
#drpeterdobiaspintowin,"Wed, 02 Apr 2014 04:21:11 +0000",504332995679771435
Curious to know how my dogs are doing.,"Wed, 02 Apr 2014 04:22:35 +0000",504332995679771435
"I've never purchased this yet but plan to in the future. So far I love all your product. <a href=""/search?q=drpeterdobiaspintowin"" rel=""nofollow"">#drpeterdobiaspintowin</a>","Mon, 07 Apr 2014 14:04:28 +0000",565342696881789849
Words of wisdom,"Thu, 21 Nov 2013 13:34:47 +0000",557320660045544412
I actually know the people in this pic lol,"Sat, 29 Mar 2014 16:58:54 +0000",150167106233567105
