item_id,tag,quality
92957179779409584,birthday costume,4
92957179779409584,red tutu,4
92957179779409584,too hard,1
92957179779409584,girls dress,2
92957179779409584,flower,2
92957179779409584,ladybug,3
92957179779409584,birthday outfit,4
92957179779409584,birthday girl,3
92957179779409584,birthday girl dress,4
92957179779409584,toddler,2
92957179779409584,red and black kids tutu,4
92957179779409584,birthday idea,2
92957179779409584,ladybug outfit,3
92957179779409584,daughter,2
92957179779409584,girl,1
92957179779409584,dress,1
92957179779409584,red and black tutu,4
92957179779409584,red,1
92957179779409584,outfit,2
92957179779409584,tutu,2
92957179779409584,birthday,2
92957179779409584,one,2
92957179779409584,shirt,1
101823641545218688,dark jewlry,1
101823641545218688,decorations,2
101823641545218688,bakelite tag,3
101823641545218688,kitchen,3
101823641545218688,ovenware,3
101823641545218688,jewelry,3
101823641545218688,jewelry dealers,2
101823641545218688,jewelery,1
101823641545218688,bakelite jewelery,1
101823641545218688,bakelite logo,4
101823641545218688,baking,2
101823641545218688,jewelry brand,3
101823641545218688,art,2
101823641545218688,colorful bakelite,3
101823641545218688,craft,2
101823641545218688,cake,2
101823641545218688,fine jewelry,2
101823641545218688,bakelite,4
102245854010458896,lighthouse during sunrise,4
102245854010458896,beach,3
102245854010458896,wild beauty,3
102245854010458896,sunsets,3
102245854010458896,scenic,3
102245854010458896,shine,2
102245854010458896,scenery,3
102245854010458896,clouds,2
102245854010458896,sunset painting,1
102245854010458896,nature,3
102245854010458896,sky,3
102245854010458896,field,2
102245854010458896,sun,3
102245854010458896,sunset,3
102245854010458896,water,1
102245854010458896,building at sunset,4
102245854010458896,building in field,2
102245854010458896,landscape,3
102245854010458896,lighthouse,4
102245854010458896,lighthouse sunset,4
102245854010458896,maine,3
102245854010458896,peaceful place,3
104708760057824320,meal,2
104708760057824320,mushroom dish,4
104708760057824320,cooking mushrooms,4
104708760057824320,pasta,1
104708760057824320,dinner,1
104708760057824320,frying pan,2
104708760057824320,mushroom soup,2
104708760057824320,mushrooms,3
104708760057824320,sprigs of rosemary,4
104708760057824320,saute,3
104708760057824320,thyme,3
104708760057824320,fungi food dish,4
104708760057824320,mushroom,3
104708760057824320,mushroom meal,4
104708760057824320,lunch,1
104708760057824320,fried mushroom dinner,2
104708760057824320,cooking with mushrooms,3
104708760057824320,cooked mushrooms,4
104708760057824320,shrooms,2
104708760057824320,food,1
109001253451458832,black girl fashion,4
109001253451458832,polka dot,4
109001253451458832,afro,4
109001253451458832,big hair,4
109001253451458832,woman,1
109001253451458832,afro wig,3
109001253451458832,model,2
109001253451458832,black woman,2
109001253451458832,hairstyle,2
109001253451458832,fashion model,2
109001253451458832,huge black afro,4
109001253451458832,african american style,3
109001253451458832,hair,2
109001253451458832,huge afro,4
109001253451458832,fashion,2
109001253451458832,woman with afro,3
109001253451458832,fro,3
109001253451458832,spring clothing,3
109001253451458832,natural hair style,2
109001253451458832,huge fashion afro,4
118852877640397680,graphic,1
118852877640397680,design,1
118852877640397680,inspiration,2
118852877640397680,every day quote,3
118852877640397680,motivational,3
118852877640397680,dream quote,4
118852877640397680,pep,3
118852877640397680,motivational pink,1
118852877640397680,create your dreams every day,2
118852877640397680,motto,2
118852877640397680,inspirational,2
118852877640397680,pink inspirational logo,3
118852877640397680,dreams quote,3
118852877640397680,create your dreams,3
118852877640397680,message,2
118852877640397680,logo,2
118852877640397680,happy quotes about everyday dreams,4
118852877640397680,dream,1
118852877640397680,too hard,0
118852877640397680,dreams,1
118852877640397680,imagine your life,1
118852877640397680,dream tags,2
118852877640397680,talk,2
118852877640397680,pink,2
118852877640397680,dream ideas,2
